video_id,published_at,title,description,label_rule
MEjemMW43JM,2025-08-15 05:04:43+00:00,죄송해요..,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
FypC9fmsbtk,2025-08-14 03:03:00+00:00,어떻게 이런일이,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",감정/반응
hwXXN9kg5wg,2025-08-13 03:03:00+00:00,인간은 도구를 쓴다,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
JrtqRi_8JrU,2025-08-12 03:03:00+00:00,잘못했어요..,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
yJtaO2VMVtc,2025-08-11 03:03:00+00:00,그건 좀..,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
WZ_UtwP0onA,2025-08-10 03:03:00+00:00,님들아,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
gBfC1_Mt4mg,2025-08-09 03:03:00+00:00,욕하고 봤더니 침착맨님이었다,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!

방송일자 : 2025. 6. 6


#침착맨 #손종수 #논란",상황/스토리
LrE2hxa6IZI,2025-08-08 03:03:00+00:00,복근이 생겼습니다,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
Ikxcuhd1TKM,2025-08-07 03:03:00+00:00,명수형은 참지않아,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
axJHmHGDut4,2025-08-06 03:03:00+00:00,의사가 픽한 냉면은 과연?!,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
txMWX6HrtsA,2025-08-05 03:03:00+00:00,귀여워서가 이유가 아니야?,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
DY_Iz5-uuVA,2025-08-04 03:03:00+00:00,난이도 뭐야 너무 어려운데?,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
iQtD4PSyMhc,2025-08-03 03:03:00+00:00,어머니...아니죠?,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
IUiBCBeolqY,2025-08-02 03:03:00+00:00,너무 순식간이었어요..,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!

방송일자 : 2025. 6. 3~5


#콩밥특별시 #gta #김실망",감정/반응
5kzp6xYMPME,2025-08-01 03:03:00+00:00,이거 알았음?,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
uMZW4xNUsMY,2025-07-31 03:03:00+00:00,이걸 사람이 할 수 있어?,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
RogULudecGc,2025-07-30 03:03:00+00:00,헉,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",감정/반응
UaAXpiTLrco,2025-07-29 03:03:00+00:00,그림자도 밟아선 안돼,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
guROT61LitI,2025-07-28 03:03:00+00:00,남자란 멀까,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
V3guvMpNgfI,2025-07-26 03:03:00+00:00,홍대병이 먹게 된 롯데리아 신제품,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!

방송일자 : 2025. 7. 10


#롯데리아 #먹방 #김치불고기버거",상황/스토리
iyycBrZ3DTY,2025-07-25 03:03:00+00:00,남자어가 이런거야?,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
KtaZFz7Z7jE,2025-07-24 03:03:00+00:00,유튜브 생태계 교란종,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
A7AkWaweRm4,2025-07-23 03:03:00+00:00,와 님들 이거 알았음?,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",밈/유머
m9i5RnQZKkk,2025-07-22 03:03:00+00:00,너무나 어려운 미션,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",감정/반응
Hre2Q4_UhHE,2025-07-21 03:03:00+00:00,이거 머야,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
3d2pb4Q6Vas,2025-07-20 03:03:00+00:00,테무산 입니다,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
E66AbbT9iK4,2025-07-19 03:03:00+00:00,이해되는 애들이 한명도 없어 하..,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!

방송일자 : 2025. 7. 4


#오징어게임3 #넷플릭스 #오징어게임",상황/스토리
Bu91Dkh3w9g,2025-07-18 03:03:00+00:00,얘들아 나야,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
l9CKE8TUcQI,2025-07-17 03:03:00+00:00,금휘 방송사고,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
zm-jIsEohsk,2025-07-16 03:03:00+00:00,이게 왜 꼴려,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",상황/스토리
hD39BIQSbKM,2025-07-15 03:03:00+00:00,부러워 죽겠네 진짜,"🌸금휘 생방송 - https://chzzk.naver.com/be83ec844c05d2099cda8a715349bb9c
🌸금휘 인스타 - https://www.instagram.com/goldhwi_/

생방송은 오후 6시!


#웃긴쇼츠 #공감 #킬링타임",감정/반응
